Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Cura_Appointment_Flow,Chrome 143.0.7499.171,,,23-01-2026 18:33:28,23-01-2026 18:34:03,34.429s,PASSED
,,,,,,,
Start listener action : beforeTestSuite,Chrome 143.0.7499.171,,,23-01-2026 18:33:28,23-01-2026 18:33:35,7.128s,PASSED
,,,,,,,
Test Cases/Login,Chrome 143.0.7499.171,,,23-01-2026 18:33:36,23-01-2026 18:33:42,5.867s,PASSED
"waitForElementVisible(findTestObject(""Cura/Home/btn_MakeAppointment""), 10)",Chrome 143.0.7499.171,,,23-01-2026 18:33:36,23-01-2026 18:33:37,0.542s,PASSED
"click(findTestObject(""Cura/Home/btn_MakeAppointment""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:37,23-01-2026 18:33:38,1.191s,PASSED
"waitForElementVisible(findTestObject(""Cura/Login/txtUsername""), 10)",Chrome 143.0.7499.171,,,23-01-2026 18:33:38,23-01-2026 18:33:38,0.324s,PASSED
"setText(findTestObject(""Cura/Login/txtUsername""), ""John Doe"")",Chrome 143.0.7499.171,,,23-01-2026 18:33:38,23-01-2026 18:33:39,1.009s,PASSED
"setText(findTestObject(""Cura/Login/txtPassword""), ""ThisIsNotAPassword"")",Chrome 143.0.7499.171,,,23-01-2026 18:33:39,23-01-2026 18:33:40,0.996s,PASSED
"click(findTestObject(""Cura/Login/btnLogin""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:40,23-01-2026 18:33:41,1.207s,PASSED
"waitForElementVisible(findTestObject(""Cura/Appointment/lbl_MakeAppointment""), 10)",Chrome 143.0.7499.171,,,23-01-2026 18:33:41,23-01-2026 18:33:42,0.456s,PASSED
,,,,,,,
Test Cases/Appointment,Chrome 143.0.7499.171,,,23-01-2026 18:33:42,23-01-2026 18:33:54,12.454s,PASSED
"SmartWait.waitVisible(findTestObject(""Cura/Appointment/lbl_MakeAppointment""), 20)",Chrome 143.0.7499.171,,,23-01-2026 18:33:42,23-01-2026 18:33:42,0.308s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/sel_Facility""), 15)",Chrome 143.0.7499.171,,,23-01-2026 18:33:42,23-01-2026 18:33:44,1.184s,PASSED
"selectOptionByLabel(findTestObject(""Cura/Appointment/sel_Facility""), ""Hongkong CURA Healthcare Center"", false)",Chrome 143.0.7499.171,,,23-01-2026 18:33:44,23-01-2026 18:33:44,0.728s,PASSED
